OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC,CQ TS
409G9TD,Miss,11/5/2019 9:31,12/21/2019 1:20,45.65902778,11/5/2019 17:08
409H6SW,Miss,11/8/2019 14:07,12/19/2019 11:51,40.90555556,11/9/2019 4:52
409GFVK,Miss,11/5/2019 16:02,12/21/2019 12:30,45.85277778,11/6/2019 15:44
408PB2H,Miss,7/9/2019 13:21,12/23/2019 12:39,166.9708333,7/9/2019 22:26
409GT4H,Miss,11/7/2019 8:15,12/23/2019 13:45,46.22916667,11/8/2019 9:26
40959FB,Miss,9/17/2019 16:40,12/19/2019 12:52,92.84166667,9/18/2019 10:08
409DV4R,Miss,10/28/2019 15:44,12/23/2019 11:35,55.82708333,10/29/2019 19:24
409HMKQ,Miss,11/12/2019 9:38,12/23/2019 11:34,41.08055556,11/12/2019 16:52
409GBVR,Miss,11/5/2019 11:10,12/23/2019 12:43,48.06458333,11/5/2019 11:49
409FTD5,Miss,11/1/2019 15:07,12/23/2019 14:30,51.97430556,11/1/2019 15:30
409GTLH,Miss,11/7/2019 10:02,12/23/2019 15:31,46.22847222,11/7/2019 10:08
409GLPQ,Miss,11/6/2019 11:07,12/23/2019 10:38,46.97986111,11/6/2019 19:19
409H87N,Miss,11/9/2019 13:27,12/19/2019 14:45,40.05416667,11/12/2019 6:47
409F2V9,Miss,10/29/2019 11:26,12/20/2019 17:24,52.24861111,10/29/2019 11:36
40985V8,Miss,10/2/2019 13:58,12/26/2019 12:28,84.9375,10/2/2019 14:04
409HZM6,Miss,11/13/2019 13:16,12/26/2019 13:28,43.00833333,11/13/2019 13:19
409J2R4,Miss,11/13/2019 16:05,12/26/2019 12:27,42.84861111,11/13/2019 16:09
409J7M2,Miss,11/14/2019 11:51,12/26/2019 15:51,42.16666667,11/18/2019 23:38
409JFQD,Miss,11/15/2019 8:50,12/26/2019 17:22,41.35555556,11/16/2019 4:10
409JFPD,Miss,11/15/2019 8:47,12/26/2019 17:22,41.35763889,11/15/2019 13:05
409JFN7,Miss,11/15/2019 8:43,12/26/2019 17:22,41.36041667,11/15/2019 12:54
409G5ZC,Miss,11/4/2019 17:11,12/26/2019 11:28,51.76180556,11/5/2019 16:47
409GLCZ,Miss,11/6/2019 10:36,12/26/2019 12:30,50.07916667,11/6/2019 19:30
409CSFM,Miss,10/22/2019 15:01,12/27/2019 14:23,65.97361111,10/22/2019 15:07
409FSVZ,Miss,11/1/2019 15:38,12/27/2019 15:27,55.99236111,11/1/2019 15:54
409GY8V,Miss,11/7/2019 12:44,12/27/2019 11:28,49.94722222,11/7/2019 13:02
409HWDC,Miss,11/13/2019 10:51,12/27/2019 10:43,43.99444444,11/13/2019 10:56
409GNMB,Miss,11/6/2019 14:56,12/27/2019 11:40,50.86388889,11/6/2019 21:31
409HHKF,Miss,11/11/2019 16:53,12/27/2019 14:10,45.88680556,11/12/2019 4:55
409K5FW,Miss,11/19/2019 18:50,12/30/2019 15:25,40.85763889,11/19/2019 20:46
409KBVF,Miss,11/20/2019 12:50,12/30/2019 14:02,40.05,11/21/2019 17:49
409JKCT,Miss,11/17/2019 13:59,12/30/2019 14:55,43.03888889,11/18/2019 19:58
409K9K2,Miss,11/20/2019 10:33,12/30/2019 11:26,40.03680556,11/21/2019 13:49
409JGLL,Miss,11/15/2019 12:54,12/30/2019 11:32,44.94305556,11/18/2019 19:54
409KB5T,Miss,11/20/2019 11:24,12/30/2019 11:27,40.00208333,11/21/2019 16:30
409KCM2,Miss,11/20/2019 14:24,12/30/2019 11:16,39.86944444,11/21/2019 23:26
CLKJ8CW,Miss,11/19/2019 8:46,12/30/2019 12:11,41.14236111,11/19/2019 9:27
409JH5G,Miss,11/15/2019 14:21,12/30/2019 11:26,44.87847222,11/19/2019 13:23
409KCMJ,Miss,11/20/2019 14:25,12/30/2019 11:30,39.87847222,11/21/2019 23:37
409G4H4,Miss,11/4/2019 12:41,1/2/2020 13:33,59.03611111,11/4/2019 12:49
409JFLV,Miss,11/15/2019 10:43,1/2/2020 14:33,48.15972222,11/15/2019 10:58
409FR7K,Miss,11/1/2019 11:24,1/2/2020 14:28,62.12777778,11/1/2019 11:32
408TGKJ,Miss,8/2/2019 10:48,1/2/2020 10:32,152.9888889,8/2/2019 11:02
409FRTV,Miss,11/1/2019 13:01,1/2/2020 13:34,62.02291667,11/1/2019 13:04
409GVPK,Miss,11/7/2019 10:45,1/2/2020 15:28,56.19652778,11/7/2019 10:47
409H5ND,Miss,11/8/2019 11:11,1/2/2020 12:38,55.06041667,11/8/2019 11:21
409HC2S,Miss,11/11/2019 8:12,1/2/2020 14:31,52.26319444,11/11/2019 8:19
409HHGZ,Miss,11/11/2019 18:09,1/2/2020 9:35,51.64305556,11/12/2019 19:36
409HZTT,Miss,11/13/2019 14:44,1/2/2020 6:20,49.65,11/15/2019 8:42
409JJBN,Miss,11/15/2019 18:22,1/2/2020 11:31,47.71458333,11/18/2019 22:26
409JR5D,Miss,11/18/2019 12:34,1/2/2020 13:34,45.04166667,11/19/2019 7:11
409JYSH,Miss,11/19/2019 9:03,1/2/2020 12:39,44.15,11/19/2019 9:09
BNBQDWQ,Miss,11/19/2019 9:11,1/2/2020 11:37,44.10138889,11/20/2019 15:54
409KNMJ,Miss,11/21/2019 23:36,1/2/2020 16:28,41.70277778,11/21/2019 23:43
409KVFG,Miss,11/22/2019 16:28,1/2/2020 10:33,40.75347222,11/23/2019 5:55
409KCVJ,Miss,11/20/2019 14:53,1/2/2020 15:31,43.02638889,11/20/2019 15:02
BNBPFY8,Miss,11/22/2019 15:28,1/2/2020 10:34,40.79583333,11/22/2019 19:56
409KVQC,Miss,11/22/2019 15:06,1/2/2020 11:27,40.84791667,11/23/2019 3:58
409HZ8M,Miss,11/13/2019 14:28,1/2/2020 14:32,50.00277778,11/14/2019 4:09
409H6N3,Miss,11/8/2019 14:45,1/2/2020 12:37,54.91111111,11/11/2019 12:24
409K2CN,Miss,11/19/2019 10:15,1/2/2020 10:32,44.01180556,11/20/2019 2:57
409KBPW,Miss,11/20/2019 12:27,1/2/2020 10:36,42.92291667,11/21/2019 14:24
409KDQY,Miss,11/20/2019 16:00,1/2/2020 16:28,43.01944444,11/21/2019 6:27
409KW6P,Miss,11/23/2019 10:37,1/2/2020 11:37,40.04166667,11/24/2019 9:30
409J9LP,Miss,11/14/2019 15:10,1/2/2020 10:30,48.80555556,11/16/2019 3:53
409JRTB,Miss,11/18/2019 14:06,1/2/2020 11:27,44.88958333,11/19/2019 11:16
409K4FL,Miss,11/19/2019 15:20,1/2/2020 10:39,43.80486111,11/20/2019 17:37
409FFL2,Miss,10/30/2019 15:53,1/2/2020 15:28,63.98263889,10/31/2019 15:09
409JJZQ,Miss,11/17/2019 0:04,1/2/2020 20:33,46.85347222,11/17/2019 7:31
409K42P,Miss,11/19/2019 11:24,1/2/2020 13:26,44.08472222,11/20/2019 3:16
409JBDF,Miss,11/14/2019 17:59,1/3/2020 16:56,49.95625,11/14/2019 18:11
409JJDV,Miss,11/15/2019 21:16,1/3/2020 15:00,48.73888889,11/15/2019 22:16
409KBHD,Miss,11/20/2019 12:05,1/3/2020 11:16,43.96597222,11/20/2019 12:26
409FK3G,Miss,10/31/2019 9:21,12/17/2019 12:15,47.12083333,10/31/2019 16:11
409GCYR,Miss,11/5/2019 11:53,12/17/2019 11:43,41.99305556,11/7/2019 7:59
409KSS5,Miss,11/22/2019 9:21,1/3/2020 11:34,42.09236111,11/22/2019 9:32
409C3J8,Miss,10/18/2019 6:04,12/20/2019 10:50,63.19861111,10/18/2019 18:37
409KQLF,Make,11/22/2019 8:11,1/3/2020 13:35,42.225,11/22/2019 8:14
409J22C,Miss,11/13/2019 15:59,1/6/2020 9:25,53.72638889,11/13/2019 16:54
409KF6F,Make,11/20/2019 16:30,1/6/2020 8:53,46.68263889,11/20/2019 20:32
CLKHKHK,Miss,11/25/2019 11:51,1/6/2020 11:13,41.97361111,11/25/2019 12:24
409GFQH,Miss,11/5/2019 16:34,1/6/2020 13:26,61.86944444,11/6/2019 15:35
409KJRJ,Miss,11/21/2019 10:04,1/6/2020 12:13,46.08958333,11/22/2019 15:06
409D9CV,Miss,10/24/2019 12:03,12/18/2019 14:51,55.11666667,10/24/2019 19:23
BNBPYBL,Miss,11/20/2019 11:55,1/6/2020 14:30,47.10763889,11/21/2019 9:21
409KQW2,Miss,11/22/2019 8:49,1/6/2020 10:25,45.06666667,11/25/2019 15:12
409K4HC,Miss,11/19/2019 14:30,1/6/2020 10:25,47.82986111,11/19/2019 19:03
409K9Y4,Miss,11/20/2019 11:06,1/6/2020 13:31,47.10069444,11/21/2019 5:15
409KDKR,Miss,11/20/2019 14:26,1/6/2020 10:28,46.83472222,11/21/2019 15:55
409L3YQ,Miss,11/25/2019 10:21,1/6/2020 10:29,42.00555556,11/25/2019 14:38
409GQ8T,Miss,11/6/2019 21:54,12/20/2019 16:31,43.77569444,11/8/2019 7:50
409H7BJ,Miss,11/8/2019 15:30,12/20/2019 12:39,41.88125,11/9/2019 6:13
409KCYL,Miss,11/20/2019 14:00,1/6/2020 10:29,46.85347222,11/21/2019 5:31
409GG45,Miss,11/5/2019 16:50,1/6/2020 10:27,61.73402778,11/5/2019 23:23
409CMZZ,Miss,10/22/2019 6:02,12/18/2019 10:57,57.20486111,10/22/2019 14:17
409KM9T,Miss,11/21/2019 12:57,1/6/2020 10:28,45.89652778,11/22/2019 17:15
409L62Q,Miss,11/25/2019 14:06,1/6/2020 11:36,41.89583333,11/25/2019 17:37
409DVGQ,Miss,10/28/2019 17:01,12/20/2019 11:49,52.78333333,10/28/2019 17:41
409GPYN,Miss,11/6/2019 16:19,12/20/2019 14:38,43.92986111,11/7/2019 15:50
409HDV3,Miss,11/11/2019 10:21,12/20/2019 14:29,39.17222222,11/11/2019 13:23
409L4ZG,Miss,11/25/2019 8:52,1/7/2020 9:18,43.01805556,11/25/2019 8:55
409L3VN,Miss,11/25/2019 9:14,1/7/2020 11:41,43.10208333,11/26/2019 7:20
409LG8Y,Miss,11/26/2019 14:41,1/7/2020 11:35,41.87083333,12/1/2019 10:49
409KQPT,Miss,11/22/2019 8:28,1/7/2020 14:19,46.24375,11/22/2019 21:21
409LBCZ,Miss,11/26/2019 8:25,1/7/2020 11:37,42.13333333,11/26/2019 10:29
409LGN3,Miss,11/26/2019 14:54,1/7/2020 10:53,41.83263889,11/26/2019 16:51
409H6C4,Miss,11/8/2019 13:50,12/20/2019 11:49,41.91597222,11/11/2019 9:15
409LFY8,Miss,11/26/2019 13:50,1/7/2020 12:27,41.94236111,11/26/2019 14:48
409H5NK,Miss,11/8/2019 11:08,1/7/2020 14:42,60.14861111,11/9/2019 1:03
409JSBN,Miss,11/18/2019 12:04,1/8/2020 19:26,51.30694444,11/18/2019 12:19
409CN6W,Miss,10/22/2019 6:17,12/18/2019 16:37,57.43055556,10/22/2019 14:17
409FFKZ,Miss,10/30/2019 13:52,12/18/2019 12:47,48.95486111,10/31/2019 2:20
409GV6N,Miss,11/7/2019 7:50,12/18/2019 13:44,41.24583333,11/7/2019 17:08
