OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409RSJG,Make,2020-01-02 10:08:00,2020-01-02 10:25:00,2020-01-02 10:09:00,0 days 00:17:00.000000000
409RSQR,Make,2020-01-02 10:34:00,2020-01-02 11:45:00,2020-01-02 10:48:00,0 days 01:11:00.000000000
409RTQV,Make,2020-01-02 10:33:00,2020-01-02 15:22:00,2020-01-02 10:35:00,0 days 04:49:00.000000000
409RTVF,Make,2020-01-02 10:56:00,2020-01-02 15:16:00,2020-01-02 11:06:00,0 days 04:20:00.000000000
409RTWB,Make,2020-01-02 13:00:00,2020-01-02 13:06:00,2020-01-02 13:03:00,0 days 00:06:00.000000000
409RTBH,Make,2020-01-02 11:37:00,2020-01-02 15:49:00,2020-01-02 11:37:00,0 days 04:12:00.000000000
409RV3P,Make,2020-01-02 13:27:00,2020-01-02 13:37:00,2020-01-02 13:28:00,0 days 00:10:00.000000000
409RV5R,Make,2020-01-02 10:40:00,2020-01-02 15:39:00,2020-01-02 10:40:00,0 days 04:59:00.000000000
409RVCD,Make,2020-01-02 14:13:00,2020-01-02 14:25:00,,0 days 00:12:00.000000000
409RVPW,Make,2020-01-02 14:03:00,2020-01-02 14:09:00,2020-01-02 14:04:00,0 days 00:06:00.000000000
409RVTR,Make,2020-01-02 13:21:00,2020-01-02 13:28:00,,0 days 00:07:00.000000000
409RWKQ,Make,2020-01-02 15:46:00,2020-01-02 15:55:00,2020-01-02 15:47:00,0 days 00:09:00.000000000
409RWQ8,Make,2020-01-02 18:51:00,2020-01-02 18:55:00,2020-01-02 18:51:00,0 days 00:04:00.000000000
409RWRW,Make,2020-01-02 18:21:00,2020-01-02 18:25:00,2020-01-02 18:22:00,0 days 00:04:00.000000000
409RWVF,Make,2020-01-02 20:34:00,2020-01-02 20:37:00,2020-01-02 20:34:00,0 days 00:03:00.000000000
409S3N3,Make,2020-01-03 13:47:00,2020-01-03 13:50:00,2020-01-03 13:49:00,0 days 00:03:00.000000000
409RWDJ,Make,2020-01-02 16:58:00,2020-01-03 11:55:00,2020-01-03 10:48:00,0 days 18:57:00.000000000
409S4S7,Make,2020-01-03 17:22:00,2020-01-03 17:28:00,2020-01-03 17:23:00,0 days 00:06:00.000000000
409RS3V,Make,2020-01-02 09:10:00,2020-01-03 17:37:00,2020-01-02 09:16:00,1 days 08:27:00.000000000
409RVW2,Make,2020-01-02 15:26:00,2020-01-03 16:36:00,2020-01-02 15:46:00,1 days 01:10:00.000000000
409RR9V,Make,2020-01-02 06:42:00,2020-01-03 10:04:00,2020-01-02 06:44:00,1 days 03:22:00.000000000
409RRTG,Make,2020-01-02 08:40:00,2020-01-03 08:32:00,2020-01-02 08:41:00,0 days 23:52:00.000000000
409S2KR,Make,2020-01-03 10:55:00,2020-01-03 10:59:00,2020-01-03 10:55:00,0 days 00:04:00.000000000
409RSGY,Make,2020-01-02 10:02:00,2020-01-03 15:52:00,2020-01-02 10:14:00,1 days 05:50:00.000000000
409RSQJ,Make,2020-01-02 10:39:00,2020-01-03 10:47:00,2020-01-02 11:59:00,1 days 00:08:00.000000000
409RT4H,Make,2020-01-02 10:10:00,2020-01-03 14:25:00,2020-01-02 10:10:00,1 days 04:15:00.000000000
409RW9R,Make,2020-01-02 16:35:00,2020-01-03 17:03:00,2020-01-02 16:40:00,1 days 00:28:00.000000000
409RTPQ,Make,2020-01-02 09:29:00,2020-01-03 13:02:00,2020-01-02 09:31:00,1 days 03:33:00.000000000
409RWC4,Make,2020-01-02 16:48:00,2020-01-03 13:10:00,2020-01-03 11:14:00,0 days 20:22:00.000000000
BNBFTFW,Make,2020-01-02 14:59:00,2020-01-03 13:37:00,2020-01-03 07:53:00,0 days 22:38:00.000000000
409RS86,Make,2020-01-02 09:36:00,2020-01-03 14:42:00,2020-01-02 09:41:00,1 days 05:06:00.000000000
409RTZB,Make,2020-01-02 13:11:00,2020-01-03 15:54:00,2020-01-02 13:11:00,1 days 02:43:00.000000000
409RVRR,Make,2020-01-02 12:10:00,2020-01-03 16:22:00,2020-01-02 12:25:00,1 days 04:12:00.000000000
409RTRC,Make,2020-01-02 09:35:00,2020-01-03 16:06:00,2020-01-02 09:35:00,1 days 06:31:00.000000000
409RS8M,Make,2020-01-02 09:32:00,2020-01-03 13:28:00,2020-01-03 08:00:00,1 days 03:56:00.000000000
409RVY9,Make,2020-01-02 15:33:00,2020-01-03 17:49:00,2020-01-02 15:34:00,1 days 02:16:00.000000000
409RVYM,Make,2020-01-02 15:35:00,2020-01-03 13:42:00,2020-01-02 15:36:00,0 days 22:07:00.000000000
409RVZF,Make,2020-01-02 12:39:00,2020-01-03 12:45:00,2020-01-02 12:40:00,1 days 00:06:00.000000000
409RW96,Make,2020-01-02 16:32:00,2020-01-03 13:15:00,2020-01-02 16:40:00,0 days 20:43:00.000000000
409RPZL,Make,2020-01-01 17:34:00,2020-01-03 17:48:00,2020-01-01 17:38:00,2 days 00:14:00.000000000
409RVVC,Make,2020-01-02 15:22:00,2020-01-03 12:17:00,2020-01-02 16:51:00,0 days 20:55:00.000000000
409RZW7,Make,2020-01-03 08:30:00,2020-01-03 16:32:00,,0 days 08:02:00.000000000
409RRZQ,Make,2020-01-02 08:57:00,2020-01-03 12:18:00,2020-01-03 08:19:00,1 days 03:21:00.000000000
409RSMZ,Make,2020-01-02 10:20:00,2020-01-03 15:00:00,2020-01-02 13:14:00,1 days 04:40:00.000000000
409RSVW,Make,2020-01-02 10:47:00,2020-01-03 12:08:00,2020-01-03 08:30:00,1 days 01:21:00.000000000
409RV63,Make,2020-01-02 13:39:00,2020-01-03 15:10:00,,1 days 01:31:00.000000000
409RSJL,Make,2020-01-02 08:05:00,2020-01-03 14:25:00,2020-01-02 10:28:00,1 days 06:20:00.000000000
409RRMM,Make,2020-01-02 08:06:00,2020-01-03 14:40:00,2020-01-02 09:41:00,1 days 06:34:00.000000000
409RTKD,Make,2020-01-02 11:02:00,2020-01-03 10:18:00,2020-01-03 08:06:00,0 days 23:16:00.000000000
409RSD4,Make,2020-01-02 09:47:00,2020-01-03 15:42:00,2020-01-03 09:11:00,1 days 05:55:00.000000000
409RRSB,Make,2020-01-02 08:32:00,2020-01-03 12:41:00,2020-01-03 08:43:00,1 days 04:09:00.000000000
409RTH9,Make,2020-01-02 10:52:00,2020-01-03 10:34:00,2020-01-02 11:50:00,0 days 23:42:00.000000000
409S5L3,Make,2020-01-04 22:09:00,2020-01-04 22:16:00,2020-01-04 22:12:00,0 days 00:07:00.000000000
409RV3W,Make,2020-01-02 13:28:00,2020-01-04 05:12:00,,1 days 15:44:00.000000000
409S5Z9,Make,2020-01-05 15:12:00,2020-01-05 15:29:00,,0 days 00:17:00.000000000
409S5YR,Make,2020-01-05 14:32:00,2020-01-05 15:07:00,2020-01-05 15:01:00,0 days 00:35:00.000000000
409S684,Make,2020-01-05 20:46:00,2020-01-05 20:52:00,2020-01-05 20:52:00,0 days 00:06:00.000000000
409RT7P,Make,2020-01-02 11:31:00,2020-01-06 11:06:00,2020-01-02 11:40:00,3 days 23:35:00.000000000
409RZZN,Make,2020-01-03 09:42:00,2020-01-06 15:55:00,2020-01-03 13:38:00,3 days 06:13:00.000000000
409RSHY,Make,2020-01-02 10:12:00,2020-01-06 15:33:00,2020-01-02 10:14:00,4 days 05:21:00.000000000
409RSQC,Make,2020-01-02 10:30:00,2020-01-06 21:21:00,2020-01-02 10:31:00,4 days 10:51:00.000000000
409RS5V,Make,2020-01-02 09:21:00,2020-01-06 13:20:00,2020-01-02 09:58:00,4 days 03:59:00.000000000
CLKCQPF,Make,2020-01-02 15:25:00,2020-01-06 16:44:00,2020-01-03 15:51:00,4 days 01:19:00.000000000
409RWJM,Make,2020-01-02 14:33:00,2020-01-06 18:27:00,,4 days 03:54:00.000000000
BNBFMPP,Make,2020-01-03 15:32:00,2020-01-06 12:19:00,2020-01-03 16:18:00,2 days 20:47:00.000000000
BNBFSBW,Make,2020-01-02 16:07:00,2020-01-06 10:44:00,2020-01-03 10:55:00,3 days 18:37:00.000000000
409RTJT,Make,2020-01-02 11:59:00,2020-01-06 10:44:00,2020-01-03 08:30:00,3 days 22:45:00.000000000
BNBFMW9,Make,2020-01-03 13:59:00,2020-01-06 14:09:00,,3 days 00:10:00.000000000
BNBFNGL,Make,2020-01-03 12:58:00,2020-01-06 15:57:00,2020-01-03 13:28:00,3 days 02:59:00.000000000
CLKCPPH,Make,2020-01-03 09:39:00,2020-01-06 14:45:00,2020-01-06 07:50:00,3 days 05:06:00.000000000
BNBFM9R,Make,2020-01-03 15:31:00,2020-01-06 15:12:00,,2 days 23:41:00.000000000
CLKCPSL,Make,2020-01-03 10:19:00,2020-01-06 14:52:00,2020-01-03 10:56:00,3 days 04:33:00.000000000
409RVC4,Make,2020-01-02 15:04:00,2020-01-06 22:25:00,,4 days 07:21:00.000000000
BNBFPJ9,Make,2020-01-03 10:26:00,2020-01-06 13:45:00,,3 days 03:19:00.000000000
BNBFTTQ,Make,2020-01-02 13:57:00,2020-01-06 09:04:00,2020-01-02 14:22:00,3 days 19:07:00.000000000
409RT82,Make,2020-01-02 10:26:00,2020-01-06 20:25:00,,4 days 09:59:00.000000000
409RTQ6,Make,2020-01-02 11:34:00,2020-01-06 15:30:00,2020-01-02 11:35:00,4 days 03:56:00.000000000
409RVZN,Make,2020-01-02 15:41:00,2020-01-06 15:15:00,2020-01-02 15:41:00,3 days 23:34:00.000000000
BNBFZFF,Make,2020-01-02 08:38:00,2020-01-06 15:32:00,2020-01-03 09:10:00,4 days 06:54:00.000000000
409S2SP,Make,2020-01-03 11:34:00,2020-01-06 12:09:00,2020-01-03 12:16:00,3 days 00:35:00.000000000
409S3DP,Make,2020-01-03 12:03:00,2020-01-06 12:23:00,2020-01-03 12:51:00,3 days 00:20:00.000000000
409RPZV,Make,2020-01-01 15:05:00,2020-01-06 18:16:00,2020-01-01 15:07:00,5 days 03:11:00.000000000
409RVCK,Make,2020-01-02 14:07:00,2020-01-06 15:03:00,2020-01-02 15:17:00,4 days 00:56:00.000000000
409RWJG,Make,2020-01-02 14:35:00,2020-01-06 12:09:00,2020-01-02 14:37:00,3 days 21:34:00.000000000
409S434,Make,2020-01-03 11:53:00,2020-01-06 15:35:00,2020-01-06 13:14:00,3 days 03:42:00.000000000
