,OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,CQ Applied TS,CQ and Create Diff
0,CLKDKDL,Make,2019-12-24 10:47:00,2019-12-27 10:18:00,2019-12-24 15:06:00,2019-12-24 11:11:00,0 days 00:24:00.000000000
1,409QMTZ,Miss,2019-12-19 12:15:00,2020-01-10 15:51:00,2019-12-19 12:16:00,2019-12-20 12:39:00,1 days 00:24:00.000000000
2,409RVRY,Miss,2020-01-02 15:10:00,2020-01-13 14:11:00,,2020-01-02 18:53:00,0 days 03:43:00.000000000
3,409RW88,Make,2020-01-02 16:23:00,2020-01-06 15:51:00,2020-01-06 11:17:00,2020-01-02 18:05:00,0 days 01:42:00.000000000
4,409PNY9,Miss,2019-12-13 23:57:00,2020-01-10 09:21:00,2019-12-16 12:45:00,2019-12-15 22:05:00,1 days 22:08:00.000000000
5,409QH4R,Make,2019-12-18 14:45:00,2019-12-23 10:31:00,2019-12-23 10:02:00,2019-12-19 07:19:00,0 days 16:34:00.000000000
6,409NTKL,Miss,2019-12-10 11:49:00,2019-12-26 10:35:00,,2019-12-12 06:59:00,1 days 19:10:00.000000000
7,409SMPC,Make,2020-01-07 13:49:00,2020-01-09 17:32:00,2020-01-09 16:32:00,2020-01-07 13:57:00,0 days 00:08:00.000000000
8,409RK58,Make,2019-12-30 11:15:00,2020-01-02 13:54:00,,2019-12-30 12:54:00,0 days 01:39:00.000000000
9,409P632,Miss,2019-12-11 10:49:00,2019-12-26 11:34:00,,2019-12-11 11:01:00,0 days 00:12:00.000000000
10,409PLY9,Make,2019-12-13 11:37:00,2019-12-17 09:31:00,2019-12-16 10:18:00,2019-12-13 11:57:00,0 days 00:20:00.000000000
11,409PYT7,Make,2019-12-16 13:09:00,2019-12-21 18:11:00,,2019-12-17 01:25:00,0 days 12:16:00.000000000
12,409MCCR,Miss,2019-12-02 16:33:00,2019-12-19 10:39:00,,2019-12-04 00:01:00,1 days 07:28:00.000000000
13,409SVL4,Make,2020-01-08 09:02:00,2020-01-10 13:21:00,2020-01-08 09:02:00,2020-01-08 09:07:00,0 days 00:05:00.000000000
14,409R39H,Miss,2019-12-23 10:33:00,2019-12-29 18:08:00,,2019-12-23 17:39:00,0 days 07:06:00.000000000
15,409QV4B,Miss,2019-12-20 15:12:00,2020-01-02 11:01:00,2019-12-20 15:23:00,2019-12-20 15:33:00,0 days 00:21:00.000000000
16,409QSHB,Miss,2019-12-20 10:26:00,2020-01-08 12:23:00,2019-12-20 10:49:00,2019-12-20 10:52:00,0 days 00:26:00.000000000
17,409SZBY,Make,2020-01-08 16:15:00,2020-01-13 14:56:00,2020-01-08 16:16:00,2020-01-08 16:20:00,0 days 00:05:00.000000000
18,409RTK6,Make,2020-01-02 11:03:00,2020-01-03 14:07:00,2020-01-02 11:21:00,2020-01-02 11:10:00,0 days 00:07:00.000000000
19,409KV89,Miss,2019-11-22 15:49:00,2020-01-08 16:01:00,2019-12-30 11:36:00,2019-12-30 09:39:00,37 days 17:50:00.000000000
20,409MTY3,Miss,2019-12-04 15:50:00,2019-12-19 11:47:00,,2019-12-04 16:09:00,0 days 00:19:00.000000000
21,409PZ9G,Miss,2019-12-16 14:30:00,2020-01-07 10:45:00,,2019-12-16 14:48:00,0 days 00:18:00.000000000
22,409S3YG,Miss,2020-01-03 12:31:00,2020-01-13 10:54:00,,2020-01-03 12:44:00,0 days 00:13:00.000000000
23,409N4LD,Miss,2019-12-05 13:47:00,2020-01-13 14:14:00,2019-12-05 13:48:00,2019-12-05 13:54:00,0 days 00:07:00.000000000
24,409PNMR,Make,2019-12-13 14:41:00,2019-12-17 12:49:00,2019-12-13 14:47:00,2019-12-13 14:53:00,0 days 00:12:00.000000000
25,409QNTL,Make,2019-12-19 11:53:00,2019-12-24 10:03:00,2019-12-19 13:00:00,2019-12-19 13:12:00,0 days 01:19:00.000000000
26,409QFQL,Miss,2019-12-18 12:08:00,2020-01-10 12:56:00,,2019-12-18 12:13:00,0 days 00:05:00.000000000
27,409P58Q,Miss,2019-12-11 11:58:00,2020-01-10 12:10:00,,2019-12-11 19:02:00,0 days 07:04:00.000000000
28,409P689,Miss,2019-12-11 11:12:00,2020-01-06 10:35:00,,2019-12-12 02:45:00,0 days 15:33:00.000000000
29,409QLQZ,Miss,2019-12-19 09:50:00,2020-01-09 17:02:00,2020-01-05 23:48:00,2019-12-20 12:08:00,1 days 02:18:00.000000000
30,409SV88,Make,2020-01-08 11:27:00,2020-01-13 13:36:00,2020-01-08 11:28:00,2020-01-08 11:35:00,0 days 00:08:00.000000000
31,409R8TC,Make,2019-12-26 10:41:00,2019-12-31 11:17:00,2019-12-26 10:43:00,2019-12-26 10:50:00,0 days 00:09:00.000000000
32,409QW78,Miss,2019-12-21 13:20:00,2019-12-27 12:22:00,2019-12-24 08:02:00,2019-12-23 15:36:00,2 days 02:16:00.000000000
33,409R5V6,Miss,2019-12-24 10:07:00,2020-01-10 14:12:00,2019-12-24 10:07:00,2019-12-24 10:11:00,0 days 00:04:00.000000000
34,409RKRW,Miss,2019-12-30 12:10:00,2020-01-13 09:53:00,,2019-12-30 12:48:00,0 days 00:38:00.000000000
35,409S35F,Make,2020-01-03 12:20:00,2020-01-06 12:26:00,2020-01-03 12:21:00,2020-01-03 12:25:00,0 days 00:05:00.000000000
36,409RTPY,Miss,2020-01-02 12:26:00,2020-01-09 15:12:00,,2020-01-02 17:03:00,0 days 04:37:00.000000000
37,409QMRT,Miss,2019-12-19 12:01:00,2020-01-06 10:31:00,,2019-12-20 06:53:00,0 days 18:52:00.000000000
38,409PM8G,Miss,2019-12-13 13:29:00,2019-12-19 21:38:00,,2019-12-13 13:36:00,0 days 00:07:00.000000000
39,409RNM2,Miss,2019-12-31 08:09:00,2020-01-13 08:10:00,2019-12-31 08:10:00,2019-12-31 08:17:00,0 days 00:08:00.000000000
