OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC
409G9TD,Miss,2019-11-05 09:31:00,2019-12-21 01:20:00,45.65902777777778
409H6SW,Miss,2019-11-08 14:07:00,2019-12-19 11:51:00,40.90555555555556
409GFVK,Miss,2019-11-05 16:02:00,2019-12-21 12:30:00,45.852777777777774
408PB2H,Miss,2019-07-09 13:21:00,2019-12-23 12:39:00,166.97083333333333
409GT4H,Miss,2019-11-07 08:15:00,2019-12-23 13:45:00,46.229166666666664
40959FB,Miss,2019-09-17 16:40:00,2019-12-19 12:52:00,92.84166666666667
409DV4R,Miss,2019-10-28 15:44:00,2019-12-23 11:35:00,55.827083333333334
409HMKQ,Miss,2019-11-12 09:38:00,2019-12-23 11:34:00,41.080555555555556
409GBVR,Miss,2019-11-05 11:10:00,2019-12-23 12:43:00,48.06458333333333
409FTD5,Miss,2019-11-01 15:07:00,2019-12-23 14:30:00,51.97430555555555
409GTLH,Miss,2019-11-07 10:02:00,2019-12-23 15:31:00,46.22847222222222
409GLPQ,Miss,2019-11-06 11:07:00,2019-12-23 10:38:00,46.97986111111111
409H87N,Miss,2019-11-09 13:27:00,2019-12-19 14:45:00,40.05416666666667
409F2V9,Miss,2019-10-29 11:26:00,2019-12-20 17:24:00,52.24861111111111
40985V8,Miss,2019-10-02 13:58:00,2019-12-26 12:28:00,84.9375
409HZM6,Miss,2019-11-13 13:16:00,2019-12-26 13:28:00,43.00833333333333
409J2R4,Miss,2019-11-13 16:05:00,2019-12-26 12:27:00,42.84861111111111
409J7M2,Miss,2019-11-14 11:51:00,2019-12-26 15:51:00,42.166666666666664
409JFQD,Miss,2019-11-15 08:50:00,2019-12-26 17:22:00,41.355555555555554
409JFPD,Miss,2019-11-15 08:47:00,2019-12-26 17:22:00,41.357638888888886
409JFN7,Miss,2019-11-15 08:43:00,2019-12-26 17:22:00,41.360416666666666
409G5ZC,Miss,2019-11-04 17:11:00,2019-12-26 11:28:00,51.761805555555554
409GLCZ,Miss,2019-11-06 10:36:00,2019-12-26 12:30:00,50.079166666666666
409CSFM,Miss,2019-10-22 15:01:00,2019-12-27 14:23:00,65.97361111111111
409FSVZ,Miss,2019-11-01 15:38:00,2019-12-27 15:27:00,55.99236111111111
409GY8V,Miss,2019-11-07 12:44:00,2019-12-27 11:28:00,49.94722222222222
409HWDC,Miss,2019-11-13 10:51:00,2019-12-27 10:43:00,43.99444444444445
409GNMB,Miss,2019-11-06 14:56:00,2019-12-27 11:40:00,50.86388888888889
409HHKF,Miss,2019-11-11 16:53:00,2019-12-27 14:10:00,45.886805555555554
409K5FW,Miss,2019-11-19 18:50:00,2019-12-30 15:25:00,40.857638888888886
409KBVF,Miss,2019-11-20 12:50:00,2019-12-30 14:02:00,40.05
409JKCT,Miss,2019-11-17 13:59:00,2019-12-30 14:55:00,43.03888888888889
409K9K2,Miss,2019-11-20 10:33:00,2019-12-30 11:26:00,40.03680555555555
409JGLL,Miss,2019-11-15 12:54:00,2019-12-30 11:32:00,44.94305555555555
409KB5T,Miss,2019-11-20 11:24:00,2019-12-30 11:27:00,40.00208333333333
409KCM2,Miss,2019-11-20 14:24:00,2019-12-30 11:16:00,39.86944444444445
CLKJ8CW,Miss,2019-11-19 08:46:00,2019-12-30 12:11:00,41.142361111111114
409JH5G,Miss,2019-11-15 14:21:00,2019-12-30 11:26:00,44.87847222222222
409KCMJ,Miss,2019-11-20 14:25:00,2019-12-30 11:30:00,39.87847222222222
409G4H4,Miss,2019-11-04 12:41:00,2020-01-02 13:33:00,59.03611111111111
409JFLV,Miss,2019-11-15 10:43:00,2020-01-02 14:33:00,48.15972222222222
409FR7K,Miss,2019-11-01 11:24:00,2020-01-02 14:28:00,62.12777777777778
408TGKJ,Miss,2019-08-02 10:48:00,2020-01-02 10:32:00,152.98888888888888
409FRTV,Miss,2019-11-01 13:01:00,2020-01-02 13:34:00,62.02291666666667
409GVPK,Miss,2019-11-07 10:45:00,2020-01-02 15:28:00,56.196527777777774
409H5ND,Miss,2019-11-08 11:11:00,2020-01-02 12:38:00,55.06041666666667
409HC2S,Miss,2019-11-11 08:12:00,2020-01-02 14:31:00,52.263194444444444
409HHGZ,Miss,2019-11-11 18:09:00,2020-01-02 09:35:00,51.643055555555556
409HZTT,Miss,2019-11-13 14:44:00,2020-01-02 06:20:00,49.65
409JJBN,Miss,2019-11-15 18:22:00,2020-01-02 11:31:00,47.71458333333333
409JR5D,Miss,2019-11-18 12:34:00,2020-01-02 13:34:00,45.041666666666664
409JYSH,Miss,2019-11-19 09:03:00,2020-01-02 12:39:00,44.15
BNBQDWQ,Miss,2019-11-19 09:11:00,2020-01-02 11:37:00,44.10138888888889
409KNMJ,Miss,2019-11-21 23:36:00,2020-01-02 16:28:00,41.702777777777776
409KVFG,Miss,2019-11-22 16:28:00,2020-01-02 10:33:00,40.75347222222222
409KCVJ,Miss,2019-11-20 14:53:00,2020-01-02 15:31:00,43.02638888888889
BNBPFY8,Miss,2019-11-22 15:28:00,2020-01-02 10:34:00,40.795833333333334
409KVQC,Miss,2019-11-22 15:06:00,2020-01-02 11:27:00,40.84791666666667
409HZ8M,Miss,2019-11-13 14:28:00,2020-01-02 14:32:00,50.00277777777778
409H6N3,Miss,2019-11-08 14:45:00,2020-01-02 12:37:00,54.91111111111111
409K2CN,Miss,2019-11-19 10:15:00,2020-01-02 10:32:00,44.011805555555554
409KBPW,Miss,2019-11-20 12:27:00,2020-01-02 10:36:00,42.922916666666666
409KDQY,Miss,2019-11-20 16:00:00,2020-01-02 16:28:00,43.019444444444446
409KW6P,Miss,2019-11-23 10:37:00,2020-01-02 11:37:00,40.041666666666664
409J9LP,Miss,2019-11-14 15:10:00,2020-01-02 10:30:00,48.80555555555556
409JRTB,Miss,2019-11-18 14:06:00,2020-01-02 11:27:00,44.889583333333334
409K4FL,Miss,2019-11-19 15:20:00,2020-01-02 10:39:00,43.80486111111111
409FFL2,Miss,2019-10-30 15:53:00,2020-01-02 15:28:00,63.982638888888886
409JJZQ,Miss,2019-11-17 00:04:00,2020-01-02 20:33:00,46.85347222222222
409K42P,Miss,2019-11-19 11:24:00,2020-01-02 13:26:00,44.084722222222226
409JBDF,Miss,2019-11-14 17:59:00,2020-01-03 16:56:00,49.95625
409JJDV,Miss,2019-11-15 21:16:00,2020-01-03 15:00:00,48.73888888888889
409KBHD,Miss,2019-11-20 12:05:00,2020-01-03 11:16:00,43.96597222222222
409FK3G,Miss,2019-10-31 09:21:00,2019-12-17 12:15:00,47.12083333333333
409GCYR,Miss,2019-11-05 11:53:00,2019-12-17 11:43:00,41.99305555555556
409KSS5,Miss,2019-11-22 09:21:00,2020-01-03 11:34:00,42.09236111111111
409C3J8,Miss,2019-10-18 06:04:00,2019-12-20 10:50:00,63.19861111111111
409KQLF,Make,2019-11-22 08:11:00,2020-01-03 13:35:00,42.225
409J22C,Miss,2019-11-13 15:59:00,2020-01-06 09:25:00,53.72638888888889
409KF6F,Make,2019-11-20 16:30:00,2020-01-06 08:53:00,46.68263888888889
CLKHKHK,Miss,2019-11-25 11:51:00,2020-01-06 11:13:00,41.97361111111111
409GFQH,Miss,2019-11-05 16:34:00,2020-01-06 13:26:00,61.86944444444445
409KJRJ,Miss,2019-11-21 10:04:00,2020-01-06 12:13:00,46.08958333333333
409D9CV,Miss,2019-10-24 12:03:00,2019-12-18 14:51:00,55.11666666666667
BNBPYBL,Miss,2019-11-20 11:55:00,2020-01-06 14:30:00,47.107638888888886
409KQW2,Miss,2019-11-22 08:49:00,2020-01-06 10:25:00,45.06666666666667
409K4HC,Miss,2019-11-19 14:30:00,2020-01-06 10:25:00,47.829861111111114
409K9Y4,Miss,2019-11-20 11:06:00,2020-01-06 13:31:00,47.10069444444444
409KDKR,Miss,2019-11-20 14:26:00,2020-01-06 10:28:00,46.834722222222226
409L3YQ,Miss,2019-11-25 10:21:00,2020-01-06 10:29:00,42.00555555555555
409GQ8T,Miss,2019-11-06 21:54:00,2019-12-20 16:31:00,43.77569444444445
409H7BJ,Miss,2019-11-08 15:30:00,2019-12-20 12:39:00,41.88125
409KCYL,Miss,2019-11-20 14:00:00,2020-01-06 10:29:00,46.85347222222222
409GG45,Miss,2019-11-05 16:50:00,2020-01-06 10:27:00,61.734027777777776
409CMZZ,Miss,2019-10-22 06:02:00,2019-12-18 10:57:00,57.204861111111114
409KM9T,Miss,2019-11-21 12:57:00,2020-01-06 10:28:00,45.89652777777778
409L62Q,Miss,2019-11-25 14:06:00,2020-01-06 11:36:00,41.895833333333336
409DVGQ,Miss,2019-10-28 17:01:00,2019-12-20 11:49:00,52.78333333333333
409GPYN,Miss,2019-11-06 16:19:00,2019-12-20 14:38:00,43.92986111111111
409HDV3,Miss,2019-11-11 10:21:00,2019-12-20 14:29:00,39.172222222222224
409L4ZG,Miss,2019-11-25 08:52:00,2020-01-07 09:18:00,43.018055555555556
409L3VN,Miss,2019-11-25 09:14:00,2020-01-07 11:41:00,43.10208333333333
409LG8Y,Miss,2019-11-26 14:41:00,2020-01-07 11:35:00,41.87083333333333
409KQPT,Miss,2019-11-22 08:28:00,2020-01-07 14:19:00,46.24375
409LBCZ,Miss,2019-11-26 08:25:00,2020-01-07 11:37:00,42.13333333333333
409LGN3,Miss,2019-11-26 14:54:00,2020-01-07 10:53:00,41.83263888888889
409H6C4,Miss,2019-11-08 13:50:00,2019-12-20 11:49:00,41.91597222222222
409LFY8,Miss,2019-11-26 13:50:00,2020-01-07 12:27:00,41.94236111111111
409H5NK,Miss,2019-11-08 11:08:00,2020-01-07 14:42:00,60.14861111111111
409JSBN,Miss,2019-11-18 12:04:00,2020-01-08 19:26:00,51.30694444444445
409CN6W,Miss,2019-10-22 06:17:00,2019-12-18 16:37:00,57.43055555555556
409FFKZ,Miss,2019-10-30 13:52:00,2019-12-18 12:47:00,48.954861111111114
409GV6N,Miss,2019-11-07 07:50:00,2019-12-18 13:44:00,41.24583333333333
409KB4D,Miss,2019-11-20 11:20:00,2020-01-08 11:12:00,48.99444444444445
409LDVK,Miss,2019-11-26 10:40:00,2020-01-09 12:26:00,44.07361111111111
409M2ZY,Miss,2019-11-30 09:03:00,2020-01-09 15:25:00,40.265277777777776
409DHHZ,Miss,2019-10-25 08:04:00,2019-12-19 14:00:00,55.24722222222222
409HWS5,Miss,2019-11-13 08:29:00,2020-01-09 08:44:00,57.010416666666664
409K3M2,Miss,2019-11-19 13:35:00,2020-01-09 13:31:00,50.99722222222222
409L9YK,Miss,2019-11-26 07:27:00,2020-01-09 10:20:00,44.12013888888889
409KKZK,Miss,2019-11-21 11:06:00,2020-01-09 10:30:00,48.975
409KRCY,Miss,2019-11-22 09:35:00,2020-01-09 14:15:00,48.19444444444444
409KSWG,Miss,2019-11-22 12:34:00,2020-01-10 13:11:00,49.02569444444445
409H4SL,Miss,2019-11-08 10:30:00,2019-12-18 11:00:00,40.020833333333336
409L6BJ,Miss,2019-11-25 14:38:00,2020-01-10 14:51:00,46.009027777777774
409K8Z2,Miss,2019-11-20 08:41:00,2020-01-10 15:58:00,51.303472222222226
409LLNF,Miss,2019-11-27 09:07:00,2020-01-10 15:16:00,44.25625
409CG58,Miss,2019-10-21 12:00:00,2019-12-19 11:42:00,58.9875
409FRCG,Miss,2019-11-01 11:00:00,2019-12-19 17:31:00,48.27152777777778
409G4L4,Miss,2019-11-04 12:53:00,2019-12-19 16:40:00,45.15763888888889
409GZ7J,Miss,2019-11-07 15:08:00,2019-12-19 12:59:00,41.91041666666667
409H7FT,Miss,2019-11-08 15:57:00,2019-12-19 15:00:00,40.96041666666667
409HWJ3,Miss,2019-11-13 11:12:00,2020-01-13 09:40:00,60.93611111111111
409J2HF,Miss,2019-11-13 16:32:00,2020-01-13 13:27:00,60.87152777777778
409LDKS,Miss,2019-11-26 12:03:00,2020-01-13 12:44:00,48.02847222222222
409LTKF,Miss,2019-11-28 10:41:00,2020-01-13 17:53:00,46.3
409MBMM,Miss,2019-12-02 16:22:00,2020-01-13 14:27:00,41.920138888888886
409MHCK,Miss,2019-12-03 10:43:00,2020-01-13 15:14:00,41.18819444444444
409ML7D,Miss,2019-12-03 16:22:00,2020-01-13 15:14:00,40.952777777777776
409GGFC,Miss,2019-11-05 18:20:00,2020-01-13 15:42:00,68.89027777777778
